,date,Northland,lagged
245,2012-06-30,298941.7900403768,289015.81426648726
246,2012-07-31,298941.7900403768,298941.7900403768
247,2012-08-31,303904.7779273216,298941.7900403768
248,2012-09-30,289015.81426648726,303904.7779273216
249,2012-10-31,266186.06998654094,289015.81426648726
250,2012-11-30,285045.42395693134,266186.06998654094
251,2012-12-31,303904.7779273216,285045.42395693134
252,2013-01-31,289015.81426648726,303904.7779273216
253,2013-02-28,338645.69313593535,289015.81426648726
254,2013-03-31,302912.1803499325,338645.69313593535
255,2013-04-30,308867.76581426646,302912.1803499325
256,2013-05-31,303904.7779273216,308867.76581426646
257,2013-06-30,303408.4791386271,303904.7779273216
258,2013-07-31,300926.9851951547,303408.4791386271
259,2013-08-31,303408.4791386271,300926.9851951547
260,2013-09-30,296956.59488559875,303408.4791386271
261,2013-10-31,303904.7779273216,296956.59488559875
262,2013-11-30,303904.7779273216,303904.7779273216
263,2013-12-31,351053.1628532974,303904.7779273216
264,2014-01-31,316808.54643337807,351053.1628532974
265,2014-02-28,348075.3701211305,316808.54643337807
266,2014-03-31,313830.7537012112,348075.3701211305
267,2014-04-30,323756.7294751008,313830.7537012112
268,2014-05-31,338645.69313593535,323756.7294751008
269,2014-06-30,298941.7900403768,338645.69313593535
270,2014-07-31,284052.82637954224,298941.7900403768
271,2014-08-31,298743.270524899,284052.82637954224
272,2014-09-30,271149.05787348584,298743.270524899
273,2014-10-31,308867.76581426646,271149.05787348584
274,2014-11-30,313830.7537012112,308867.76581426646
275,2014-12-31,303904.7779273216,313830.7537012112
276,2015-01-31,333682.70524899045,303904.7779273216
277,2015-02-28,331697.5100942126,333682.70524899045
278,2015-03-31,328719.7173620457,331697.5100942126
279,2015-04-30,352542.0592193809,328719.7173620457
280,2015-05-31,328719.7173620457,352542.0592193809
281,2015-06-30,319290.04037685046,328719.7173620457
282,2015-07-31,323756.7294751008,319290.04037685046
283,2015-08-31,323756.7294751008,323756.7294751008
284,2015-09-30,343608.6810228801,323756.7294751008
285,2015-10-31,363460.6325706594,343608.6810228801
286,2015-11-30,333682.70524899045,363460.6325706594
287,2015-12-31,363460.6325706594,333682.70524899045
288,2016-01-31,338645.69313593535,363460.6325706594
289,2016-02-29,353534.65679676976,338645.69313593535
290,2016-03-31,353534.65679676976,353534.65679676976
291,2016-04-30,362468.0349932705,353534.65679676976
292,2016-05-31,353534.65679676976,362468.0349932705
293,2016-06-30,363460.6325706594,353534.65679676976
294,2016-07-31,373386.6083445491,363460.6325706594
295,2016-08-31,361475.4374158815,373386.6083445491
296,2016-09-30,386290.37685060565,361475.4374158815
297,2016-10-31,403164.5356662179,386290.37685060565
298,2016-11-30,400186.7429340511,403164.5356662179
299,2016-12-31,414579.407806191,400186.7429340511
300,2017-01-31,403164.5356662179,414579.407806191
301,2017-02-28,418053.4993270524,403164.5356662179
302,2017-03-31,444357.33512786,418053.4993270524
303,2017-04-30,423016.4872139972,444357.33512786
304,2017-05-31,447831.4266487213,423016.4872139972
305,2017-06-30,427979.475100942,447831.4266487213
306,2017-07-31,457757.40242261096,427979.475100942
307,2017-08-31,423016.4872139972,457757.40242261096
308,2017-09-30,452794.4145356662,423016.4872139972
309,2017-10-31,418053.4993270524,452794.4145356662
310,2017-11-30,427979.475100942,418053.4993270524
311,2017-12-31,442868.4387617765,427979.475100942
312,2018-01-31,427979.475100942,442868.4387617765
313,2018-02-28,452794.4145356662,427979.475100942
314,2018-03-31,457757.40242261096,452794.4145356662
315,2018-04-30,452794.4145356662,457757.40242261096
316,2018-05-31,476616.7563930013,452794.4145356662
317,2018-06-30,452794.4145356662,476616.7563930013
318,2018-07-31,483564.939434724,452794.4145356662
319,2018-08-31,460735.1951547778,483564.939434724
320,2018-09-30,507387.2812920592,460735.1951547778
321,2018-10-31,482572.3418573351,507387.2812920592
322,2018-11-30,507387.2812920592,482572.3418573351
323,2018-12-31,482572.3418573351,507387.2812920592
324,2019-01-31,496468.70794078056,482572.3418573351
325,2019-02-28,502920.5921938088,496468.70794078056
326,2019-03-31,504409.4885598923,502920.5921938088
327,2019-04-30,490016.8236877522,504409.4885598923
328,2019-05-31,467683.3781965006,490016.8236877522
329,2019-06-30,477609.3539703902,467683.3781965006
330,2019-07-31,477609.3539703902,477609.3539703902
331,2019-08-31,508379.878869448,477609.3539703902
332,2019-09-30,480587.1467025571,508379.878869448
333,2019-10-31,517313.2570659488,480587.1467025571
334,2019-11-30,507387.2812920592,517313.2570659488
335,2019-12-31,541135.5989232839,507387.2812920592
336,2020-01-31,520291.0497981156,541135.5989232839
337,2020-02-29,561980.1480484521,520291.0497981156
338,2020-03-31,561980.1480484521,561980.1480484521
339,2020-04-30,452794.4145356662,561980.1480484521
340,2020-05-31,532202.2207267832,452794.4145356662
341,2020-06-30,530217.0255720052,532202.2207267832
342,2020-07-31,559002.3553162853,530217.0255720052
343,2020-08-31,598706.2584118438,559002.3553162853
344,2020-09-30,552054.1722745625,598706.2584118438
345,2020-10-31,596721.0632570658,552054.1722745625
346,2020-11-30,590765.4777927321,596721.0632570658
347,2020-12-31,673647.3755047106,590765.4777927321
348,2021-01-31,626498.9905787348,673647.3755047106
349,2021-02-28,660247.3082099595,626498.9905787348
350,2021-03-31,710869.7846567967,660247.3082099595
351,2021-04-30,671165.8815612381,710869.7846567967
352,2021-05-31,681091.8573351278,671165.8815612381
353,2021-06-30,700943.808882907,681091.8573351278
354,2021-07-31,700943.808882907,700943.808882907
355,2021-08-31,651313.9300134588,700943.808882907
356,2021-09-30,676128.8694481829,651313.9300134588
357,2021-10-31,700943.808882907,676128.8694481829
358,2021-11-30,750573.6877523552,700943.808882907
359,2021-12-31,760499.6635262449,750573.6877523552
360,2022-01-31,821048.1157469717,760499.6635262449
361,2022-02-28,780351.6150740241,821048.1157469717
362,2022-03-31,827500.0,780351.6150740241
363,2022-04-30,745610.6998654105,827500.0
364,2022-05-31,730721.736204576,745610.6998654105
365,2022-06-30,710869.7846567967,730721.736204576
366,2022-07-31,700943.808882907,710869.7846567967
367,2022-08-31,643373.1493943472,700943.808882907
368,2022-09-30,725758.7483176312,643373.1493943472
369,2022-10-31,725758.7483176312,725758.7483176312
370,2022-11-30,730225.4374158814,725758.7483176312
371,2022-12-31,737669.9192462987,730225.4374158814
372,2023-01-31,688536.3391655451,737669.9192462987
373,2023-02-28,710869.7846567967,688536.3391655451
374,2023-03-31,710869.7846567967,710869.7846567967
375,2023-04-30,700943.808882907,710869.7846567967
376,2023-05-31,715832.7725437415,700943.808882907
377,2023-06-30,691017.8331090175,715832.7725437415
378,2023-07-31,673647.3755047106,691017.8331090175
379,2023-08-31,671165.8815612381,673647.3755047106
380,2023-09-30,700943.808882907,671165.8815612381
381,2023-10-31,666202.8936742933,700943.808882907
382,2023-11-30,676128.8694481829,666202.8936742933
383,2023-12-31,631461.9784656796,676128.8694481829
384,2024-01-31,785314.602960969,631461.9784656796
385,2024-02-29,750573.6877523552,785314.602960969
386,2024-03-31,700943.808882907,750573.6877523552
387,2024-04-30,691017.8331090175,700943.808882907
388,2024-05-31,641387.9542395693,691017.8331090175
389,2024-06-30,631461.9784656796,641387.9542395693
390,2024-07-31,646350.942126514,631461.9784656796
391,2024-08-31,630469.3808882907,646350.942126514
