,date,Nelson,lagged
260,2013-09-30,360000.00000000006,385600.0
261,2013-10-31,370000.00000000006,360000.00000000006
262,2013-11-30,365000.00000000006,370000.00000000006
263,2013-12-31,370000.00000000006,365000.00000000006
264,2014-01-31,355000.00000000006,370000.00000000006
265,2014-02-28,350000.00000000006,355000.00000000006
266,2014-03-31,365000.00000000006,350000.00000000006
267,2014-04-30,370000.00000000006,365000.00000000006
268,2014-05-31,361000.0,370000.00000000006
269,2014-06-30,369300.00000000006,361000.0
270,2014-07-31,373500.00000000006,369300.00000000006
271,2014-08-31,362000.00000000006,373500.00000000006
272,2014-09-30,355000.00000000006,362000.00000000006
273,2014-10-31,370000.00000000006,355000.00000000006
274,2014-11-30,370000.00000000006,370000.00000000006
275,2014-12-31,350000.00000000006,370000.00000000006
276,2015-01-31,358000.0,350000.00000000006
277,2015-02-28,365000.00000000006,358000.0
278,2015-03-31,383000.00000000006,365000.00000000006
279,2015-04-30,400000.0,383000.00000000006
280,2015-05-31,375000.0,400000.0
281,2015-06-30,360000.00000000006,375000.0
282,2015-07-31,402000.0,360000.00000000006
283,2015-08-31,410000.0,402000.0
284,2015-09-30,380500.00000000006,410000.0
285,2015-10-31,380000.0,380500.00000000006
286,2015-11-30,385000.0,380000.0
287,2015-12-31,385000.0,385000.0
288,2016-01-31,381000.0,385000.0
289,2016-02-29,417000.0,381000.0
290,2016-03-31,408000.0,417000.0
291,2016-04-30,395000.0,408000.0
292,2016-05-31,430350.00000000006,395000.0
293,2016-06-30,450000.00000000006,430350.00000000006
294,2016-07-31,410000.0,450000.00000000006
295,2016-08-31,460000.00000000006,410000.0
296,2016-09-30,450000.00000000006,460000.00000000006
297,2016-10-31,479000.0,450000.00000000006
298,2016-11-30,470000.00000000006,479000.0
299,2016-12-31,464000.0,470000.00000000006
300,2017-01-31,461000.0,464000.0
301,2017-02-28,448000.00000000006,461000.0
302,2017-03-31,486500.0,448000.00000000006
303,2017-04-30,475000.00000000006,486500.0
304,2017-05-31,485000.00000000006,475000.00000000006
305,2017-06-30,487500.0,485000.00000000006
306,2017-07-31,475000.00000000006,487500.0
307,2017-08-31,520000.0,475000.00000000006
308,2017-09-30,481000.0,520000.0
309,2017-10-31,447500.0,481000.0
310,2017-11-30,502000.00000000006,447500.0
311,2017-12-31,515000.0,502000.00000000006
312,2018-01-31,510000.0,515000.0
313,2018-02-28,515000.0,510000.0
314,2018-03-31,505000.0,515000.0
315,2018-04-30,545000.0,505000.0
316,2018-05-31,511000.00000000006,545000.0
317,2018-06-30,490000.00000000006,511000.00000000006
318,2018-07-31,530000.0,490000.00000000006
319,2018-08-31,525000.0,530000.0
320,2018-09-30,592000.0,525000.0
321,2018-10-31,518000.0,592000.0
322,2018-11-30,523000.0,518000.0
323,2018-12-31,553000.0,523000.0
324,2019-01-31,550100.0,553000.0
325,2019-02-28,538000.0,550100.0
326,2019-03-31,540000.0,538000.0
327,2019-04-30,520000.0,540000.0
328,2019-05-31,521000.00000000006,520000.0
329,2019-06-30,530000.0,521000.00000000006
330,2019-07-31,520000.0,530000.0
331,2019-08-31,520000.0,520000.0
332,2019-09-30,560000.0,520000.0
333,2019-10-31,552000.0,560000.0
334,2019-11-30,571500.0,552000.0
335,2019-12-31,595000.0,571500.0
336,2020-01-31,597500.0,595000.0
