,date,West_Coast,lagged
338,2020-03-31,220000.00000000003,225000.00000000003
339,2020-04-30,215000.0,220000.00000000003
340,2020-05-31,220000.00000000003,215000.0
341,2020-06-30,220000.00000000003,220000.00000000003
342,2020-07-31,225000.00000000003,220000.00000000003
343,2020-08-31,255000.0,225000.00000000003
344,2020-09-30,247250.0,255000.0
345,2020-10-31,250000.0,247250.0
346,2020-11-30,245000.0,250000.0
347,2020-12-31,280000.0,245000.0
348,2021-01-31,260000.0,280000.0
349,2021-02-28,295000.0,260000.0
350,2021-03-31,300000.0,295000.0
351,2021-04-30,275000.0,300000.0
352,2021-05-31,302000.0,275000.0
353,2021-06-30,284000.0,302000.0
354,2021-07-31,296500.0,284000.0
355,2021-08-31,280000.0,296500.0
356,2021-09-30,275000.0,280000.0
357,2021-10-31,300000.0,275000.0
358,2021-11-30,350000.00000000006,300000.0
359,2021-12-31,370000.00000000006,350000.00000000006
360,2022-01-31,342000.0,370000.00000000006
361,2022-02-28,346000.0,342000.0
362,2022-03-31,345000.00000000006,346000.0
363,2022-04-30,349100.0,345000.00000000006
364,2022-05-31,395000.0,349100.0
365,2022-06-30,295500.0,395000.0
366,2022-07-31,335000.0,295500.0
367,2022-08-31,350000.00000000006,335000.0
368,2022-09-30,360000.0,350000.00000000006
369,2022-10-31,321700.0,360000.0
370,2022-11-30,420000.0,321700.0
371,2022-12-31,343000.0,420000.0
372,2023-01-31,350000.00000000006,343000.0
373,2023-02-28,350000.00000000006,350000.00000000006
374,2023-03-31,355000.00000000006,350000.00000000006
375,2023-04-30,359000.0,355000.00000000006
376,2023-05-31,355000.00000000006,359000.0
377,2023-06-30,385000.0,355000.00000000006
378,2023-07-31,330000.0,385000.0
379,2023-08-31,335000.0,330000.0
380,2023-09-30,355000.00000000006,335000.0
381,2023-10-31,340000.0,355000.00000000006
382,2023-11-30,400000.0,340000.0
383,2023-12-31,360000.0,400000.0
384,2024-01-31,340000.0,360000.0
385,2024-02-29,325000.0,340000.0
386,2024-03-31,370000.00000000006,325000.0
387,2024-04-30,430000.0,370000.00000000006
388,2024-05-31,405000.0,430000.0
389,2024-06-30,320000.0,405000.0
390,2024-07-31,400000.0,320000.0
391,2024-08-31,357000.0,400000.0
