,date,Waikato,lagged
163,2005-08-31,266500.0000000001,250000.0000000001
164,2005-09-30,259000.0,266500.0000000001
165,2005-10-31,269100.0,259000.0
166,2005-11-30,275000.0000000001,269100.0
167,2005-12-31,278000.0000000001,275000.0000000001
168,2006-01-31,275000.0000000001,278000.0000000001
169,2006-02-28,283000.0,275000.0000000001
170,2006-03-31,280000.0,283000.0
171,2006-04-30,280000.0,280000.0
172,2006-05-31,283000.0,280000.0
173,2006-06-30,279000.0,283000.0
174,2006-07-31,287000.0000000001,279000.0
175,2006-08-31,280000.0,287000.0000000001
176,2006-09-30,278000.0000000001,280000.0
177,2006-10-31,302000.0,278000.0000000001
178,2006-11-30,298000.0000000001,302000.0
179,2006-12-31,308000.0000000001,298000.0000000001
180,2007-01-31,300000.0,308000.0000000001
181,2007-02-28,310000.0,300000.0
182,2007-03-31,320000.0,310000.0
183,2007-04-30,310000.0,320000.0
184,2007-05-31,312000.0000000001,310000.0
185,2007-06-30,319000.0,312000.0000000001
186,2007-07-31,326000.0,319000.0
187,2007-08-31,315100.0000000001,326000.0
188,2007-09-30,320000.0,315100.0000000001
189,2007-10-31,325000.0000000001,320000.0
190,2007-11-30,320000.0,325000.0000000001
191,2007-12-31,330000.0,320000.0
192,2008-01-31,320000.0,330000.0
193,2008-02-29,347500.0000000001,320000.0
194,2008-03-31,320000.0,347500.0000000001
195,2008-04-30,316000.0,320000.0
196,2008-05-31,305000.0000000001,316000.0
197,2008-06-30,317000.0,305000.0000000001
198,2008-07-31,312000.0000000001,317000.0
199,2008-08-31,315000.0000000001,312000.0000000001
200,2008-09-30,320000.0,315000.0000000001
201,2008-10-31,317500.00000000023,320000.0
202,2008-11-30,315000.0000000001,317500.00000000023
203,2008-12-31,310000.0,315000.0000000001
204,2009-01-31,292000.0000000001,310000.0
205,2009-02-28,312000.0000000001,292000.0000000001
206,2009-03-31,310000.0,312000.0000000001
207,2009-04-30,312000.0000000001,310000.0
208,2009-05-31,310000.0,312000.0000000001
209,2009-06-30,320000.0,310000.0
210,2009-07-31,322000.0000000001,320000.0
211,2009-08-31,325000.0000000001,322000.0000000001
