,date,Gisborne,lagged
182,2007-03-31,261063.91270459865,256075.60405300077
183,2007-04-30,271040.53000779427,261063.91270459865
184,2007-05-31,254080.28059236164,271040.53000779427
185,2007-06-30,263059.2361652378,254080.28059236164
186,2007-07-31,300970.3819173811,263059.2361652378
187,2007-08-31,300970.3819173811,300970.3819173811
188,2007-09-30,248593.14107560407,300970.3819173811
189,2007-10-31,281017.14731098985,248593.14107560407
190,2007-11-30,253082.6188620421,281017.14731098985
191,2007-12-31,256075.60405300077,253082.6188620421
192,2008-01-31,277026.50038971164,256075.60405300077
193,2008-02-29,280019.48558067024,277026.50038971164
194,2008-03-31,236122.36944660952,280019.48558067024
195,2008-04-30,223152.7669524552,236122.36944660952
196,2008-05-31,201204.2088854247,223152.7669524552
197,2008-06-30,228639.90646921276,201204.2088854247
198,2008-07-31,221157.44349181608,228639.90646921276
199,2008-08-31,283012.47077162896,221157.44349181608
200,2008-09-30,216169.13484021815,283012.47077162896
201,2008-10-31,230136.3990646922,216169.13484021815
202,2008-11-30,246098.9867498052,230136.3990646922
203,2008-12-31,241110.67809820728,246098.9867498052
204,2009-01-31,256075.60405300077,241110.67809820728
205,2009-02-28,269045.2065471551,256075.60405300077
206,2009-03-31,208187.8409976617,269045.2065471551
207,2009-04-30,251087.29540140287,208187.8409976617
208,2009-05-31,229138.7373343726,251087.29540140287
209,2009-06-30,210681.99532346072,229138.7373343726
210,2009-07-31,251087.29540140287,210681.99532346072
211,2009-08-31,281017.14731098985,251087.29540140287
212,2009-09-30,221157.44349181608,281017.14731098985
213,2009-10-31,266052.2213561964,221157.44349181608
214,2009-11-30,250089.63367108337,266052.2213561964
215,2009-12-31,251087.29540140287,250089.63367108337
216,2010-01-31,246098.9867498052,251087.29540140287
217,2010-02-28,310946.9992205768,246098.9867498052
218,2010-03-31,246098.9867498052,310946.9992205768
219,2010-04-30,226145.75214341385,246098.9867498052
220,2010-05-31,259068.5892439594,226145.75214341385
221,2010-06-30,269045.2065471551,259068.5892439594
222,2010-07-31,236122.36944660952,269045.2065471551
223,2010-08-31,211180.8261886204,236122.36944660952
224,2010-09-30,211180.8261886204,211180.8261886204
225,2010-10-31,240537.0226032736,211180.8261886204
226,2010-11-30,264056.8978955573,240537.0226032736
227,2010-12-31,224150.4286827747,264056.8978955573
228,2011-01-31,196215.90023382692,224150.4286827747
229,2011-02-28,241110.67809820728,196215.90023382692
