,date,Auckland,lagged
60,1997-01-31,229999.99999999977,233000.0
61,1997-02-28,234999.99999999977,229999.99999999977
62,1997-03-31,234999.99999999977,234999.99999999977
63,1997-04-30,240000.00000000023,234999.99999999977
64,1997-05-31,237500.0,240000.00000000023
65,1997-06-30,234999.99999999977,237500.0
66,1997-07-31,240000.00000000023,234999.99999999977
67,1997-08-31,234999.99999999977,240000.00000000023
68,1997-09-30,237500.0,234999.99999999977
69,1997-10-31,240000.00000000023,237500.0
70,1997-11-30,245000.0,240000.00000000023
71,1997-12-31,234999.99999999977,245000.0
72,1998-01-31,237000.0,234999.99999999977
73,1998-02-28,240000.00000000023,237000.0
74,1998-03-31,240000.00000000023,240000.00000000023
75,1998-04-30,234999.99999999977,240000.00000000023
76,1998-05-31,234999.99999999977,234999.99999999977
77,1998-06-30,229999.99999999977,234999.99999999977
78,1998-07-31,229999.99999999977,229999.99999999977
79,1998-08-31,227500.0,229999.99999999977
80,1998-09-30,224999.99999999977,227500.0
81,1998-10-31,224999.99999999977,224999.99999999977
82,1998-11-30,229000.0,224999.99999999977
83,1998-12-31,231000.0,229000.0
84,1999-01-31,231499.99999999977,231000.0
85,1999-02-28,234999.99999999977,231499.99999999977
86,1999-03-31,240999.99999999977,234999.99999999977
87,1999-04-30,239000.0,240999.99999999977
88,1999-05-31,231999.99999999977,239000.0
89,1999-06-30,240000.00000000023,231999.99999999977
90,1999-07-31,234500.0,240000.00000000023
91,1999-08-31,234999.99999999977,234500.0
92,1999-09-30,240000.00000000023,234999.99999999977
93,1999-10-31,234999.99999999977,240000.00000000023
94,1999-11-30,240000.00000000023,234999.99999999977
95,1999-12-31,234999.99999999977,240000.00000000023
96,2000-01-31,229999.99999999977,234999.99999999977
97,2000-02-29,240999.99999999977,229999.99999999977
98,2000-03-31,240000.00000000023,240999.99999999977
99,2000-04-30,245000.0,240000.00000000023
100,2000-05-31,240000.00000000023,245000.0
101,2000-06-30,240000.00000000023,240000.00000000023
102,2000-07-31,234999.99999999977,240000.00000000023
103,2000-08-31,234999.99999999977,234999.99999999977
104,2000-09-30,245000.0,234999.99999999977
105,2000-10-31,234999.99999999977,245000.0
106,2000-11-30,241999.99999999977,234999.99999999977
107,2000-12-31,240999.99999999977,241999.99999999977
108,2001-01-31,242999.99999999977,240999.99999999977
109,2001-02-28,248999.99999999977,242999.99999999977
110,2001-03-31,250000.0,248999.99999999977
111,2001-04-30,248999.99999999977,250000.0
112,2001-05-31,236000.0,248999.99999999977
113,2001-06-30,255499.99999999977,236000.0
114,2001-07-31,240000.00000000023,255499.99999999977
115,2001-08-31,240000.00000000023,240000.00000000023
116,2001-09-30,250000.0,240000.00000000023
117,2001-10-31,259999.99999999977,250000.0
118,2001-11-30,248000.0,259999.99999999977
119,2001-12-31,254999.99999999977,248000.0
120,2002-01-31,245000.0,254999.99999999977
121,2002-02-28,259999.99999999977,245000.0
122,2002-03-31,265000.0000000001,259999.99999999977
123,2002-04-30,265000.0000000001,265000.0000000001
124,2002-05-31,269000.0,265000.0000000001
125,2002-06-30,262999.9999999999,269000.0
126,2002-07-31,259999.99999999977,262999.9999999999
127,2002-08-31,265000.0000000001,259999.99999999977
128,2002-09-30,274999.9999999999,265000.0000000001
129,2002-10-31,280000.0,274999.9999999999
130,2002-11-30,283499.99999999977,280000.0
131,2002-12-31,269999.9999999999,283499.99999999977
132,2003-01-31,273000.0,269999.9999999999
133,2003-02-28,281999.99999999965,273000.0
134,2003-03-31,281799.9999999999,281999.99999999965
135,2003-04-30,289999.9999999999,281799.9999999999
136,2003-05-31,295000.0,289999.9999999999
137,2003-06-30,289999.9999999999,295000.0
138,2003-07-31,300050.0,289999.9999999999
139,2003-08-31,318999.9999999999,300050.0
140,2003-09-30,322500.0,318999.9999999999
141,2003-10-31,329999.99999999977,322500.0
142,2003-11-30,325000.0,329999.99999999977
143,2003-12-31,325000.0,325000.0
144,2004-01-31,313999.9999999999,325000.0
145,2004-02-29,314999.9999999999,313999.9999999999
146,2004-03-31,319499.9999999999,314999.9999999999
147,2004-04-30,333999.9999999999,319499.9999999999
148,2004-05-31,339999.99999999977,333999.9999999999
149,2004-06-30,322999.9999999999,339999.99999999977
150,2004-07-31,339999.99999999977,322999.9999999999
151,2004-08-31,337500.0,339999.99999999977
152,2004-09-30,339000.0,337500.0
153,2004-10-31,342999.9999999999,339000.0
154,2004-11-30,353000.0,342999.9999999999
155,2004-12-31,350000.0,353000.0
156,2005-01-31,339999.99999999977,350000.0
157,2005-02-28,353000.0,339999.99999999977
158,2005-03-31,374999.9999999999,353000.0
159,2005-04-30,369000.0,374999.9999999999
160,2005-05-31,369999.99999999977,369000.0
161,2005-06-30,364999.9999999999,369999.99999999977
162,2005-07-31,369000.0,364999.9999999999
163,2005-08-31,371999.99999999977,369000.0
164,2005-09-30,379999.9999999999,371999.99999999977
165,2005-10-31,379999.9999999999,379999.9999999999
166,2005-11-30,392000.0,379999.9999999999
167,2005-12-31,385000.0,392000.0
168,2006-01-31,378999.9999999999,385000.0
169,2006-02-28,385000.0,378999.9999999999
170,2006-03-31,387999.9999999999,385000.0
171,2006-04-30,389999.9999999999,387999.9999999999
172,2006-05-31,399999.99999999977,389999.9999999999
173,2006-06-30,400999.99999999977,399999.99999999977
174,2006-07-31,392499.9999999999,400999.99999999977
175,2006-08-31,395000.0,392499.9999999999
176,2006-09-30,399999.99999999977,395000.0
177,2006-10-31,415000.0,399999.99999999977
178,2006-11-30,425000.0,415000.0
179,2006-12-31,425000.0,425000.0
180,2007-01-31,419499.9999999999,425000.0
181,2007-02-28,434999.9999999999,419499.9999999999
182,2007-03-31,441000.0000000001,434999.9999999999
183,2007-04-30,452000.0,441000.0000000001
184,2007-05-31,448999.9999999999,452000.0
185,2007-06-30,449999.9999999999,448999.9999999999
186,2007-07-31,447999.9999999999,449999.9999999999
187,2007-08-31,449999.9999999999,447999.9999999999
188,2007-09-30,441000.0000000001,449999.9999999999
189,2007-10-31,445999.9999999999,441000.0000000001
190,2007-11-30,449999.9999999999,445999.9999999999
191,2007-12-31,464999.9999999999,449999.9999999999
192,2008-01-31,429999.99999999977,464999.9999999999
193,2008-02-29,429999.99999999977,429999.99999999977
194,2008-03-31,440000.0,429999.99999999977
195,2008-04-30,455000.0,440000.0
196,2008-05-31,449999.9999999999,455000.0
197,2008-06-30,429999.99999999977,449999.9999999999
198,2008-07-31,420000.0,429999.99999999977
199,2008-08-31,427999.99999999977,420000.0
200,2008-09-30,424499.9999999999,427999.99999999977
201,2008-10-31,434999.9999999999,424499.9999999999
202,2008-11-30,429999.99999999977,434999.9999999999
203,2008-12-31,440000.0,429999.99999999977
204,2009-01-31,424000.0,440000.0
205,2009-02-28,428799.9999999999,424000.0
206,2009-03-31,440000.0,428799.9999999999
207,2009-04-30,439000.0,440000.0
208,2009-05-31,449999.9999999999,439000.0
209,2009-06-30,439000.0,449999.9999999999
210,2009-07-31,445000.0000000001,439000.0
211,2009-08-31,456999.9999999999,445000.0000000001
212,2009-09-30,459999.9999999999,456999.9999999999
213,2009-10-31,457999.9999999999,459999.9999999999
214,2009-11-30,474999.9999999999,457999.9999999999
215,2009-12-31,474999.9999999999,474999.9999999999
216,2010-01-31,449999.9999999999,474999.9999999999
217,2010-02-28,459999.9999999999,449999.9999999999
218,2010-03-31,476999.99999999977,459999.9999999999
219,2010-04-30,470000.0,476999.99999999977
