,date,Bay_of_Plenty,lagged
111,2001-04-30,192176.2013729977,182267.73455377572
112,2001-05-31,184249.42791762017,192176.2013729977
113,2001-06-30,185240.27459954223,184249.42791762017
114,2001-07-31,179790.61784897037,185240.27459954223
115,2001-08-31,190194.50800915345,179790.61784897037
116,2001-09-30,179790.61784897037,190194.50800915345
117,2001-10-31,187221.9679633868,179790.61784897037
118,2001-11-30,181276.88787185345,187221.9679633868
119,2001-12-31,199607.55148741428,181276.88787185345
120,2002-01-31,198121.28146453085,199607.55148741428
121,2002-02-28,188212.81464530888,198121.28146453085
122,2002-03-31,194157.8947368421,188212.81464530888
123,2002-04-30,188212.81464530888,194157.8947368421
124,2002-05-31,187221.9679633868,188212.81464530888
125,2002-06-30,192176.2013729977,187221.9679633868
126,2002-07-31,192176.2013729977,192176.2013729977
127,2002-08-31,196139.58810068644,192176.2013729977
128,2002-09-30,192176.2013729977,196139.58810068644
129,2002-10-31,187221.9679633868,192176.2013729977
130,2002-11-30,200102.9748283754,187221.9679633868
131,2002-12-31,211993.1350114417,200102.9748283754
132,2003-01-31,202084.6681922197,211993.1350114417
133,2003-02-28,202084.6681922197,202084.6681922197
134,2003-03-31,216947.3684210527,202084.6681922197
135,2003-04-30,207038.90160183076,216947.3684210527
136,2003-05-31,213974.82837528607,207038.90160183076
137,2003-06-30,204561.7848970251,213974.82837528607
138,2003-07-31,210011.44164759724,204561.7848970251
139,2003-08-31,218929.061784897,210011.44164759724
140,2003-09-30,226855.83524027452,218929.061784897
141,2003-10-31,226855.83524027452,226855.83524027452
142,2003-11-30,241718.5354691076,226855.83524027452
143,2003-12-31,241718.5354691076,241718.5354691076
144,2004-01-31,246672.7688787185,241718.5354691076
145,2004-02-29,221901.60183066365,246672.7688787185
146,2004-03-31,250636.15560640744,221901.60183066365
147,2004-04-30,244691.0755148742,250636.15560640744
148,2004-05-31,255094.96567505717,244691.0755148742
149,2004-06-30,252617.8489702516,255094.96567505717
150,2004-07-31,252617.8489702516,252617.8489702516
151,2004-08-31,259058.3524027461,252617.8489702516
152,2004-09-30,251627.00228832944,259058.3524027461
153,2004-10-31,264508.0091533181,251627.00228832944
154,2004-11-30,271443.9359267733,264508.0091533181
155,2004-12-31,286306.6361556064,271443.9359267733
156,2005-01-31,291260.8695652174,286306.6361556064
157,2005-02-28,291260.8695652174,291260.8695652174
158,2005-03-31,286306.6361556064,291260.8695652174
159,2005-04-30,291260.8695652174,286306.6361556064
160,2005-05-31,286306.6361556064,291260.8695652174
161,2005-06-30,291260.8695652174,286306.6361556064
162,2005-07-31,291013.15789473685,291260.8695652174
163,2005-08-31,281352.40274599544,291013.15789473685
164,2005-09-30,303151.0297482837,281352.40274599544
165,2005-10-31,315041.1899313502,303151.0297482837
166,2005-11-30,301169.3363844394,315041.1899313502
167,2005-12-31,291260.8695652174,301169.3363844394
168,2006-01-31,300178.4897025172,291260.8695652174
169,2006-02-28,318013.7299771168,300178.4897025172
170,2006-03-31,300178.4897025172,318013.7299771168
171,2006-04-30,306123.5697940503,300178.4897025172
172,2006-05-31,301169.3363844394,306123.5697940503
173,2006-06-30,320986.2700228833,301169.3363844394
174,2006-07-31,320986.2700228833,320986.2700228833
175,2006-08-31,320986.2700228833,320986.2700228833
176,2006-09-30,340803.20366132725,320986.2700228833
177,2006-10-31,330894.7368421053,340803.20366132725
178,2006-11-30,341298.62700228824,330894.7368421053
179,2006-12-31,344766.5903890161,341298.62700228824
180,2007-01-31,345757.4370709382,344766.5903890161
181,2007-02-28,330894.7368421053,345757.4370709382
182,2007-03-31,354675.05720823805,330894.7368421053
183,2007-04-30,345757.4370709382,354675.05720823805
184,2007-05-31,345757.4370709382,345757.4370709382
185,2007-06-30,354675.05720823805,345757.4370709382
186,2007-07-31,345757.4370709382,354675.05720823805
187,2007-08-31,360620.1372997712,345757.4370709382
188,2007-09-30,350711.6704805492,360620.1372997712
189,2007-10-31,350711.6704805492,350711.6704805492
190,2007-11-30,361610.9839816934,350711.6704805492
191,2007-12-31,365574.3707093821,361610.9839816934
192,2008-01-31,360620.1372997712,365574.3707093821
193,2008-02-29,345757.4370709382,360620.1372997712
194,2008-03-31,344766.5903890161,345757.4370709382
195,2008-04-30,365574.3707093821,344766.5903890161
196,2008-05-31,335848.9702517162,365574.3707093821
197,2008-06-30,350711.6704805492,335848.9702517162
198,2008-07-31,355665.90389016015,350711.6704805492
199,2008-08-31,345757.4370709382,355665.90389016015
200,2008-09-30,331142.4485125857,345757.4370709382
201,2008-10-31,340803.20366132725,331142.4485125857
202,2008-11-30,306123.5697940503,340803.20366132725
203,2008-12-31,325940.50343249424,306123.5697940503
204,2009-01-31,325940.50343249424,325940.50343249424
205,2009-02-28,345757.4370709382,325940.50343249424
206,2009-03-31,345757.4370709382,345757.4370709382
207,2009-04-30,335848.9702517162,345757.4370709382
208,2009-05-31,335848.9702517162,335848.9702517162
209,2009-06-30,344766.5903890161,335848.9702517162
210,2009-07-31,335848.9702517162,344766.5903890161
211,2009-08-31,335848.9702517162,335848.9702517162
212,2009-09-30,345757.4370709382,335848.9702517162
213,2009-10-31,360620.1372997712,345757.4370709382
214,2009-11-30,360620.1372997712,360620.1372997712
215,2009-12-31,325940.50343249424,360620.1372997712
216,2010-01-31,347739.1304347827,325940.50343249424
217,2010-02-28,340803.20366132725,347739.1304347827
218,2010-03-31,353684.2105263157,340803.20366132725
219,2010-04-30,350711.6704805492,353684.2105263157
220,2010-05-31,325940.50343249424,350711.6704805492
221,2010-06-30,331885.5835240274,325940.50343249424
