,date,Wellington,lagged
215,2009-12-31,397000.0000000001,391000.0000000001
216,2010-01-31,376500.0000000001,397000.0000000001
217,2010-02-28,390000.0000000001,376500.0000000001
218,2010-03-31,415000.0,390000.0000000001
219,2010-04-30,388000.0000000001,415000.0
220,2010-05-31,385000.0000000001,388000.0000000001
221,2010-06-30,405000.0,385000.0000000001
222,2010-07-31,385000.0000000001,405000.0
223,2010-08-31,396000.0000000001,385000.0000000001
224,2010-09-30,399000.0000000001,396000.0000000001
225,2010-10-31,392000.0000000001,399000.0000000001
226,2010-11-30,400000.0000000001,392000.0000000001
227,2010-12-31,400000.0000000001,400000.0000000001
228,2011-01-31,370000.0000000001,400000.0000000001
229,2011-02-28,406667.0000000001,370000.0000000001
230,2011-03-31,415000.0,406667.0000000001
231,2011-04-30,388000.0000000001,415000.0
232,2011-05-31,375000.0000000001,388000.0000000001
233,2011-06-30,377500.0000000001,375000.0000000001
234,2011-07-31,360000.0000000001,377500.0000000001
235,2011-08-31,367500.0000000001,360000.0000000001
236,2011-09-30,380000.0000000001,367500.0000000001
237,2011-10-31,392500.0,380000.0000000001
238,2011-11-30,385000.0000000001,392500.0
239,2011-12-31,385000.0000000001,385000.0000000001
240,2012-01-31,380000.0000000001,385000.0000000001
241,2012-02-29,388500.0000000001,380000.0000000001
242,2012-03-31,393330.0,388500.0000000001
243,2012-04-30,385000.0000000001,393330.0
244,2012-05-31,368750.0000000001,385000.0000000001
245,2012-06-30,390000.0000000001,368750.0000000001
246,2012-07-31,367000.0000000001,390000.0000000001
247,2012-08-31,386000.0000000001,367000.0000000001
248,2012-09-30,396000.0000000001,386000.0000000001
249,2012-10-31,405000.0,396000.0000000001
250,2012-11-30,407000.0,405000.0
251,2012-12-31,400000.0000000001,407000.0
252,2013-01-31,382500.0000000001,400000.0000000001
253,2013-02-28,408000.0,382500.0000000001
254,2013-03-31,395000.0000000001,408000.0
255,2013-04-30,400000.0000000001,395000.0000000001
256,2013-05-31,388000.0000000001,400000.0000000001
257,2013-06-30,400000.0000000001,388000.0000000001
258,2013-07-31,390000.0000000001,400000.0000000001
259,2013-08-31,380000.0000000001,390000.0000000001
260,2013-09-30,390000.0000000001,380000.0000000001
261,2013-10-31,405000.0,390000.0000000001
262,2013-11-30,420000.0,405000.0
263,2013-12-31,400000.0000000001,420000.0
264,2014-01-31,370000.0000000001,400000.0000000001
265,2014-02-28,420000.0,370000.0000000001
266,2014-03-31,402000.0,420000.0
267,2014-04-30,416960.0000000001,402000.0
268,2014-05-31,415000.0,416960.0000000001
269,2014-06-30,385000.0000000001,415000.0
270,2014-07-31,378500.0000000001,385000.0000000001
271,2014-08-31,400000.0000000001,378500.0000000001
272,2014-09-30,400000.0000000001,400000.0000000001
273,2014-10-31,405000.0,400000.0000000001
274,2014-11-30,426000.0,405000.0
275,2014-12-31,417000.0,426000.0
276,2015-01-31,395000.0000000001,417000.0
277,2015-02-28,410000.0,395000.0000000001
278,2015-03-31,422500.0,410000.0
279,2015-04-30,414000.0,422500.0
280,2015-05-31,405000.0,414000.0
281,2015-06-30,395000.0000000001,405000.0
282,2015-07-31,395000.0000000001,395000.0000000001
283,2015-08-31,400000.0000000001,395000.0000000001
284,2015-09-30,412500.0,400000.0000000001
285,2015-10-31,430000.0,412500.0
286,2015-11-30,435000.0,430000.0
287,2015-12-31,437500.0,435000.0
288,2016-01-31,394000.0000000001,437500.0
289,2016-02-29,456000.0,394000.0000000001
290,2016-03-31,457500.0,456000.0
291,2016-04-30,452000.0,457500.0
292,2016-05-31,465000.0,452000.0
293,2016-06-30,455000.0,465000.0
294,2016-07-31,447000.0,455000.0
295,2016-08-31,460000.0,447000.0
296,2016-09-30,480000.00000000006,460000.0
297,2016-10-31,485000.00000000006,480000.00000000006
298,2016-11-30,505000.00000000006,485000.00000000006
299,2016-12-31,535000.0,505000.00000000006
300,2017-01-31,455000.0,535000.0
301,2017-02-28,527500.0,455000.0
302,2017-03-31,530000.0,527500.0
303,2017-04-30,541000.0,530000.0
304,2017-05-31,525000.0,541000.0
305,2017-06-30,530000.0,525000.0
306,2017-07-31,495000.00000000006,530000.0
307,2017-08-31,506500.00000000006,495000.00000000006
308,2017-09-30,547500.0,506500.00000000006
309,2017-10-31,518500.00000000006,547500.0
310,2017-11-30,550000.0,518500.00000000006
311,2017-12-31,560000.0000000001,550000.0
312,2018-01-31,501000.00000000006,560000.0000000001
313,2018-02-28,551000.0,501000.00000000006
314,2018-03-31,590000.0,551000.0
315,2018-04-30,560000.0000000001,590000.0
316,2018-05-31,580000.0000000001,560000.0000000001
317,2018-06-30,600000.0,580000.0000000001
318,2018-07-31,550000.0,600000.0
319,2018-08-31,590000.0,550000.0
320,2018-09-30,595000.0,590000.0
321,2018-10-31,598000.0,595000.0
322,2018-11-30,620000.0,598000.0
323,2018-12-31,615000.0,620000.0
324,2019-01-31,562500.0,615000.0
325,2019-02-28,646000.0000000001,562500.0
326,2019-03-31,627650.0,646000.0000000001
327,2019-04-30,617077.0,627650.0
328,2019-05-31,618000.0,617077.0
329,2019-06-30,620000.0,618000.0
330,2019-07-31,630000.0,620000.0
331,2019-08-31,638500.0,630000.0
332,2019-09-30,650000.0,638500.0
333,2019-10-31,650000.0,650000.0
334,2019-11-30,690000.0,650000.0
335,2019-12-31,685000.0,690000.0
336,2020-01-31,620000.0,685000.0
337,2020-02-29,718000.0,620000.0
338,2020-03-31,707000.0,718000.0
339,2020-04-30,730000.0,707000.0
340,2020-05-31,679000.0,730000.0
341,2020-06-30,685000.0,679000.0
342,2020-07-31,696800.0,685000.0
343,2020-08-31,720000.0,696800.0
344,2020-09-30,743000.0,720000.0
345,2020-10-31,785000.0,743000.0
346,2020-11-30,790000.0,785000.0
347,2020-12-31,805035.0000000001,790000.0
348,2021-01-31,795000.0,805035.0000000001
349,2021-02-28,899900.0,795000.0
350,2021-03-31,880000.0000000001,899900.0
351,2021-04-30,868000.0,880000.0000000001
352,2021-05-31,885000.0,868000.0
353,2021-06-30,885000.0,885000.0
354,2021-07-31,860000.0,885000.0
355,2021-08-31,860000.0,860000.0
356,2021-09-30,850000.0,860000.0
357,2021-10-31,1000000.0,850000.0
358,2021-11-30,962500.0,1000000.0
359,2021-12-31,990000.0,962500.0
360,2022-01-31,915000.0,990000.0
361,2022-02-28,995000.0,915000.0
362,2022-03-31,937500.0,995000.0
363,2022-04-30,930000.0,937500.0
364,2022-05-31,900000.0000000001,930000.0
365,2022-06-30,848000.0,900000.0000000001
366,2022-07-31,809100.0,848000.0
367,2022-08-31,775000.0,809100.0
368,2022-09-30,820000.0,775000.0
369,2022-10-31,833000.0,820000.0
370,2022-11-30,796000.0,833000.0
371,2022-12-31,795000.0,796000.0
372,2023-01-31,765000.0,795000.0
373,2023-02-28,795000.0,765000.0
374,2023-03-31,750000.0,795000.0
375,2023-04-30,805050.0,750000.0
376,2023-05-31,791000.0,805050.0
377,2023-06-30,765000.0,791000.0
378,2023-07-31,733000.0,765000.0
379,2023-08-31,760000.0,733000.0
380,2023-09-30,782000.0,760000.0
381,2023-10-31,790000.0,782000.0
382,2023-11-30,789000.0,790000.0
383,2023-12-31,809000.0000000001,789000.0
384,2024-01-31,760000.0,809000.0000000001
385,2024-02-29,799000.0,760000.0
386,2024-03-31,820000.0,799000.0
387,2024-04-30,820000.0,820000.0
388,2024-05-31,785000.0,820000.0
389,2024-06-30,793000.0000000001,785000.0
390,2024-07-31,765000.0,793000.0000000001
391,2024-08-31,790000.0,765000.0
